class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
neutral,0.6673493385314941,0.3728882074356079,0.0743279904127121,0.9998233914375305,0.6937752962112427,0.3551878333091736,0.08300250768661499,0.999818742275238,0.6944835782051086,0.35216477513313293,0.08275162428617477,0.9998059868812561,0.6952338218688965,0.34879207611083984,0.08252868801355362,0.9998465776443481,0.6945200562477112,0.35177773237228394,0.029045632109045982,0.9997925162315369,0.6953905820846558,0.3465924859046936,0.02908613719046116,0.9997479319572449,0.6962941884994507,0.3408799171447754,0.029109764844179153,0.9998016953468323,0.6883313059806824,0.3044204115867615,0.15562668442726135,0.999923825263977,0.6896522045135498,0.3011971712112427,-0.08610057085752487,0.9997631907463074,0.64214688539505,0.3606296181678772,0.10820050537586212,0.9996591806411743,0.645196795463562,0.35634082555770874,0.03748369961977005,0.9996472597122192,0.5789313912391663,0.18773050606250763,0.30306583642959595,0.9980779886245728,0.5909382700920105,0.27841201424598694,-0.23556864261627197,0.9991713762283325,0.5032254457473755,0.3085009753704071,0.4335060715675354,0.058942340314388275,0.5898357033729553,0.5387586355209351,-0.20267120003700256,0.8699706196784973,0.4955631196498871,0.40634265542030334,0.4476514756679535,0.024766290560364723,0.6320192813873291,0.5978043079376221,0.15568070113658905,0.5064629912376404,0.4928211569786072,0.42210811376571655,0.4612978994846344,0.0342765636742115,0.6492287516593933,0.6137205958366394,0.15096905827522278,0.474902480840683,0.5036444664001465,0.41830208897590637,0.42510563135147095,0.03497147187590599,0.6481598615646362,0.5909919142723083,0.15951749682426453,0.47419965267181396,0.5016327500343323,0.4152960479259491,0.43047410249710083,0.04037775844335556,0.6364031434059143,0.5773563385009766,0.16631518304347992,0.47323158383369446,0.23281612992286682,0.1203765869140625,0.16722698509693146,0.9983293414115906,0.21906419098377228,0.14651350677013397,-0.16722683608531952,0.9981585144996643,0.3608432412147522,0.4581465423107147,0.22505323588848114,0.16770976781845093,0.3158431649208069,0.5392857789993286,-0.1467992067337036,0.9108918309211731,0.1427912712097168,0.4872184097766876,0.29451924562454224,0.1431404948234558,0.0907508134841919,0.47298288345336914,0.11870548874139786,0.6242849230766296,0.10637786239385605,0.45047080516815186,0.29665499925613403,0.19839239120483398,0.06525397300720215,0.4175366759300232,0.1555161029100418,0.6371407508850098,0.0935438796877861,0.5863360166549683,0.32107987999916077,0.1923593431711197,0.019644558429718018,0.5680725574493408,0.2584114670753479,0.5923102498054504
neutral,0.6691076755523682,0.36777985095977783,0.06957336515188217,0.9998382925987244,0.6949989795684814,0.35144588351249695,0.07538200914859772,0.9998345375061035,0.6956414580345154,0.3482641577720642,0.07522085309028625,0.9998226761817932,0.6963010430335999,0.34468573331832886,0.07509706914424896,0.9998595118522644,0.6957663893699646,0.34905052185058594,0.023070450872182846,0.9998106956481934,0.6965905427932739,0.3443828821182251,0.023047545924782753,0.9997701048851013,0.6974231004714966,0.33915072679519653,0.023095915094017982,0.9998190999031067,0.6902029514312744,0.30168789625167847,0.13858243823051453,0.9999303817749023,0.6909187436103821,0.300865113735199,-0.09595843404531479,0.9997841715812683,0.6446832418441772,0.35565459728240967,0.10131349414587021,0.9996877312660217,0.6471433043479919,0.35302960872650146,0.0323050282895565,0.9996770620346069,0.5849002003669739,0.18684269487857819,0.2927089333534241,0.9981585144996643,0.5934525728225708,0.2888808250427246,-0.24156054854393005,0.999221682548523,0.5422049164772034,0.27924495935440063,0.46811121702194214,0.07231556624174118,0.5945562124252319,0.5421071648597717,-0.1787603795528412,0.8770254850387573,0.5498505234718323,0.3999699354171753,0.5552465915679932,0.029541846364736557,0.6426049470901489,0.5834465622901917,0.2613314390182495,0.5187104344367981,0.5533837080001831,0.4212702810764313,0.5841680765151978,0.03957414627075195,0.6560214757919312,0.5878384709358215,0.2734399437904358,0.48326000571250916,0.5588741302490234,0.41660594940185547,0.5464795827865601,0.04046987369656563,0.649917721748352,0.5698762536048889,0.28072863817214966,0.4819384515285492,0.5538256764411926,0.41088899970054626,0.5402747988700867,0.04625408723950386,0.6387407779693604,0.5601446032524109,0.27546489238739014,0.4816463589668274,0.24786677956581116,0.11232104897499084,0.16724379360675812,0.9983890056610107,0.23005135357379913,0.14651475846767426,-0.1672910749912262,0.9982436299324036,0.3859142065048218,0.45330893993377686,0.2583419382572174,0.16728150844573975,0.31780412793159485,0.5345437526702881,-0.12455517053604126,0.9132578372955322,0.15771716833114624,0.46649226546287537,0.36158525943756104,0.14280806481838226,0.09615683555603027,0.4796484112739563,0.13419678807258606,0.6329897046089172,0.12123681604862213,0.42905327677726746,0.3676478862762451,0.1947190910577774,0.06806054711341858,0.42492765188217163,0.16961807012557983,0.6410390138626099,0.10864557325839996,0.5555307865142822,0.4330045282840729,0.19431042671203613,0.03547253832221031,0.5792579650878906,0.29268741607666016,0.6025099754333496
neutral,0.6745238900184631,0.3627510368824005,0.05920465663075447,0.9998070597648621,0.6991420984268188,0.34676048159599304,0.0648663267493248,0.9998118281364441,0.6995645761489868,0.34350043535232544,0.06466223299503326,0.9997959733009338,0.7000311613082886,0.3398180305957794,0.0644083172082901,0.9998419880867004,0.7003062963485718,0.3448841869831085,0.010306832380592823,0.9997804164886475,0.7012506723403931,0.3404936194419861,0.010347140021622181,0.9997318983078003,0.7022725343704224,0.3355933129787445,0.010370875708758831,0.9997913837432861,0.6941444873809814,0.29808780550956726,0.1331157386302948,0.999925971031189,0.6960573792457581,0.29921814799308777,-0.1093376874923706,0.9997683763504028,0.649178683757782,0.35188615322113037,0.09453900158405304,0.9996440410614014,0.6519454121589661,0.3498533368110657,0.023539762943983078,0.9996404647827148,0.5848889946937561,0.19189511239528656,0.30180424451828003,0.997901201248169,0.5986925363540649,0.2946801781654358,-0.25950101017951965,0.9991361498832703,0.5329731702804565,0.3383038341999054,0.462684690952301,0.07471740990877151,0.595030665397644,0.5409495830535889,-0.19180910289287567,0.8765636682510376,0.5394132733345032,0.4592609703540802,0.5199352502822876,0.030956409871578217,0.641883909702301,0.5810572504997253,0.22045572102069855,0.5124734044075012,0.5476577281951904,0.4810734689235687,0.5547641515731812,0.04114367067813873,0.6559693217277527,0.589591383934021,0.22358360886573792,0.4777975380420685,0.5555331707000732,0.4746674597263336,0.5030077695846558,0.04193583503365517,0.6490864753723145,0.5721525549888611,0.23226718604564667,0.4755190312862396,0.5494968891143799,0.46618106961250305,0.5021794438362122,0.04815871641039848,0.6379115581512451,0.5613538026809692,0.2328365594148636,0.47932982444763184,0.24916985630989075,0.09575650095939636,0.17502181231975555,0.998104989528656,0.23606452345848083,0.1352282464504242,-0.17491623759269714,0.9979955554008484,0.24074549973011017,0.44746407866477966,0.2940385639667511,0.1599442958831787,0.2454574853181839,0.5400879979133606,-0.14329859614372253,0.907826840877533,0.04642408341169357,0.454138845205307,0.4556693136692047,0.13207848370075226,-0.010309075936675072,0.48055848479270935,0.08122865855693817,0.6046110987663269,0.017557356506586075,0.41387414932250977,0.4697825312614441,0.1816517561674118,-0.03481637313961983,0.4246094524860382,0.1162470355629921,0.6218366026878357,-0.007427601609379053,0.5506782531738281,0.5119582414627075,0.17908154428005219,-0.07976780831813812,0.5891599655151367,0.21470816433429718,0.5697745680809021
neutral,0.6823478937149048,0.35878875851631165,0.05014641955494881,0.999759316444397,0.7052527666091919,0.34255310893058777,0.05197351053357124,0.9997681975364685,0.7051197290420532,0.33962467312812805,0.051712773740291595,0.9997477531433105,0.7049640417098999,0.33633360266685486,0.05139175057411194,0.9998044371604919,0.7074453830718994,0.33995068073272705,-0.00020398299966473132,0.9997113943099976,0.7085327506065369,0.3353286385536194,-0.0002563201996963471,0.9996553659439087,0.7096448540687561,0.33013835549354553,-0.0002888749004341662,0.999721884727478,0.6969210505485535,0.2963300049304962,0.10928542912006378,0.9999130368232727,0.7014642357826233,0.2953377962112427,-0.1213148683309555,0.9997250437736511,0.6552531719207764,0.3508552312850952,0.08391188085079193,0.9995943903923035,0.659421980381012,0.3482036888599396,0.016063636168837547,0.99958336353302,0.5782715082168579,0.19715000689029694,0.2904638648033142,0.9978943467140198,0.6060507893562317,0.2939642369747162,-0.2563018798828125,0.9991558790206909,0.48863285779953003,0.35805341601371765,0.48263081908226013,0.07008479535579681,0.6006162166595459,0.5384333729743958,-0.17904667556285858,0.8719745874404907,0.41669315099716187,0.45323172211647034,0.5142000913619995,0.030371498316526413,0.6417002081871033,0.5664470195770264,0.2780831754207611,0.5238785743713379,0.4157714247703552,0.47284135222435,0.541775107383728,0.04102550819516182,0.6590583920478821,0.5740712285041809,0.28772813081741333,0.491374135017395,0.4241856634616852,0.4698931574821472,0.49062031507492065,0.042020559310913086,0.6490899324417114,0.5538949370384216,0.30801984667778015,0.48719513416290283,0.4229208827018738,0.462047278881073,0.49313634634017944,0.04839456453919411,0.6372960805892944,0.5456592440605164,0.2958311438560486,0.49319320917129517,0.24659617245197296,0.093010313808918,0.1718290001153946,0.9980496764183044,0.23492999374866486,0.13594111800193787,-0.171809583902359,0.9980480074882507,0.1721126288175583,0.3986336588859558,0.3676683306694031,0.15058495104312897,0.1767011284828186,0.5324817299842834,-0.05686420202255249,0.8983199000358582,0.017622951418161392,0.4563794434070587,0.5995588302612305,0.12178705632686615,-0.02967514470219612,0.5115918517112732,0.21929164230823517,0.5657368302345276,-0.01004205271601677,0.43316516280174255,0.625235915184021,0.16900195181369781,-0.05456728860735893,0.4647669792175293,0.2580055892467499,0.5901891589164734,-0.010711371898651123,0.5839051604270935,0.6737377643585205,0.1648474931716919,-0.08217296004295349,0.6400052905082703,0.3368132710456848,0.5294569730758667
neutral,0.6865307688713074,0.355956494808197,0.0616375096142292,0.9997594356536865,0.7086542844772339,0.3389488756656647,0.056995492428541183,0.99976646900177,0.7082687616348267,0.3363019824028015,0.05665615200996399,0.9997447729110718,0.7078076004981995,0.3333577811717987,0.05623270943760872,0.9998046159744263,0.7113901376724243,0.3357538878917694,0.013967184349894524,0.9996965527534485,0.7125973701477051,0.33102506399154663,0.013950487598776817,0.9996325373649597,0.7137998938560486,0.32575568556785583,0.01389033067971468,0.9996978044509888,0.6988260746002197,0.29349642992019653,0.11124768108129501,0.9999132752418518,0.7049523591995239,0.2916031777858734,-0.11205600202083588,0.9997059106826782,0.6589818000793457,0.34988832473754883,0.08539807796478271,0.9995982050895691,0.6637328267097473,0.3467523753643036,0.027304839342832565,0.9995721578598022,0.5768265724182129,0.19775821268558502,0.26936104893684387,0.9980340003967285,0.6080905795097351,0.2954311966896057,-0.2354554384946823,0.9992014765739441,0.41505974531173706,0.33191055059432983,0.4562668800354004,0.06537266075611115,0.6001103520393372,0.5433425903320312,-0.14680418372154236,0.8669025897979736,0.3277398347854614,0.4518149495124817,0.4456756114959717,0.03007250279188156,0.6333122849464417,0.5602541565895081,0.3375573754310608,0.5316576957702637,0.31276533007621765,0.4648720622062683,0.47023138403892517,0.04185374453663826,0.6512398719787598,0.5690958499908447,0.3553643524646759,0.49847412109375,0.31835049390792847,0.4612586200237274,0.41272592544555664,0.04318535700440407,0.639248251914978,0.5444969534873962,0.37563422322273254,0.49285581707954407,0.3229411542415619,0.45555225014686584,0.4208505153656006,0.04942399263381958,0.6260215044021606,0.53537517786026,0.35502204298973083,0.5014757513999939,0.24620696902275085,0.09305442124605179,0.1655990481376648,0.9981213808059692,0.2343417853116989,0.13479897379875183,-0.1657228171825409,0.9981512427330017,0.16481070220470428,0.387753427028656,0.37281695008277893,0.14169922471046448,0.14177319407463074,0.5223298072814941,-0.041775017976760864,0.8899040222167969,0.00970586109906435,0.447075217962265,0.589762806892395,0.11234390735626221,-0.052616678178310394,0.48947396874427795,0.26627588272094727,0.5270489454269409,-0.015327987261116505,0.4179406464099884,0.6134673357009888,0.15692393481731415,-0.07036112248897552,0.4404980540275574,0.30952268838882446,0.5554342865943909,-0.02893657051026821,0.5763387084007263,0.6658045053482056,0.1516977697610855,-0.12102986872196198,0.6192449331283569,0.40494829416275024,0.4902181327342987
neutral,0.6903833150863647,0.35475242137908936,0.07908578217029572,0.9997722506523132,0.7121019959449768,0.3366829454898834,0.08515067398548126,0.9997804164886475,0.711352527141571,0.3343886733055115,0.08484385907649994,0.9997599124908447,0.7105054259300232,0.33178767561912537,0.08451420068740845,0.9998167753219604,0.7152584791183472,0.3323872983455658,0.03445574641227722,0.9997103810310364,0.7164055705070496,0.3271704316139221,0.03439616411924362,0.999648928642273,0.7175511121749878,0.3212452232837677,0.034380339086055756,0.9997099041938782,0.6999317407608032,0.2905563414096832,0.16794154047966003,0.999919056892395,0.7069993019104004,0.28515762090682983,-0.07386844605207443,0.9997202754020691,0.66190505027771,0.3497876524925232,0.11475900560617447,0.9996219277381897,0.6670083999633789,0.34595754742622375,0.04719483479857445,0.999596118927002,0.569758415222168,0.20053550601005554,0.3408622443675995,0.9981502294540405,0.6078490018844604,0.2948633134365082,-0.2298089563846588,0.9992406964302063,0.3944858908653259,0.33138662576675415,0.4987906515598297,0.06268302351236343,0.5999554991722107,0.5437201857566833,-0.15285199880599976,0.8724662065505981,0.3037928342819214,0.45661047101020813,0.47531670331954956,0.03012302704155445,0.6113823652267456,0.5709827542304993,0.2896469235420227,0.541348934173584,0.2884305715560913,0.4801945984363556,0.4930056929588318,0.0425061397254467,0.6270509362220764,0.583544909954071,0.301546573638916,0.50428307056427,0.29438191652297974,0.4771187901496887,0.43036800622940063,0.044087424874305725,0.6117712259292603,0.5657021403312683,0.3247114419937134,0.4973708689212799,0.2998306155204773,0.46543359756469727,0.4461941123008728,0.05047570541501045,0.5997543334960938,0.5550718903541565,0.307561993598938,0.5111595988273621,0.222009539604187,0.11919916421175003,0.17394183576107025,0.9981999397277832,0.2132081240415573,0.1420135647058487,-0.17390695214271545,0.9982282519340515,0.1887301355600357,0.5022384524345398,0.34979528188705444,0.13908031582832336,0.15041884779930115,0.5694774985313416,-0.14064942300319672,0.8927755355834961,-0.039221201092004776,0.49210241436958313,0.4535389840602875,0.10796955972909927,-0.07617618888616562,0.5373857021331787,0.10179229825735092,0.525374174118042,-0.06848092377185822,0.4459484815597534,0.4634264409542084,0.15252555906772614,-0.09594357758760452,0.4785427451133728,0.14266854524612427,0.5557627081871033,-0.10405170917510986,0.6112138032913208,0.4657597541809082,0.14455556869506836,-0.16015706956386566,0.672321617603302,0.24435634911060333,0.48122695088386536
neutral,0.6928350925445557,0.3541480600833893,0.07124792784452438,0.9997538328170776,0.7145791053771973,0.3357214033603668,0.07946138083934784,0.999756932258606,0.7136920094490051,0.33375778794288635,0.07911543548107147,0.9997316598892212,0.7126867175102234,0.33150407671928406,0.07874887436628342,0.9997997283935547,0.7176616787910461,0.33065110445022583,0.02704332396388054,0.9996823072433472,0.718675971031189,0.32515478134155273,0.02700205147266388,0.9996166825294495,0.7196804881095886,0.31892019510269165,0.02696363255381584,0.9996859431266785,0.7008346319198608,0.289768248796463,0.1625174731016159,0.9999110102653503,0.7082920670509338,0.2813684046268463,-0.07709196954965591,0.9996994733810425,0.6635521650314331,0.34995514154434204,0.11169187724590302,0.9995865821838379,0.6688724160194397,0.345829039812088,0.04310490936040878,0.9995678067207336,0.5701192617416382,0.20828692615032196,0.33513519167900085,0.9981819987297058,0.6072920560836792,0.29446330666542053,-0.2317095249891281,0.9992441534996033,0.4016691744327545,0.35891038179397583,0.4916316568851471,0.060479555279016495,0.5988539457321167,0.5436286330223083,-0.15795302391052246,0.8725864887237549,0.3145090639591217,0.46704334020614624,0.4757654070854187,0.02933742105960846,0.607880175113678,0.5854972004890442,0.2701569199562073,0.5434977412223816,0.29680922627449036,0.48909249901771545,0.49026036262512207,0.04183521121740341,0.6238847970962524,0.6033123731613159,0.2807692885398865,0.5081177353858948,0.33256861567497253,0.4825035631656647,0.43057841062545776,0.04344531148672104,0.6140521764755249,0.5871803164482117,0.2848951518535614,0.5004241466522217,0.33968406915664673,0.4725864827632904,0.44964998960494995,0.04985566437244415,0.6018918752670288,0.57555091381073,0.28337711095809937,0.5159434080123901,0.2228308618068695,0.13709048926830292,0.17838749289512634,0.9981676340103149,0.2107197344303131,0.1428866982460022,-0.1783125400543213,0.9981839656829834,0.1753266155719757,0.4937358498573303,0.3281601071357727,0.12946121394634247,0.13323178887367249,0.5643945336341858,-0.16301320493221283,0.877819836139679,-0.0227672029286623,0.4657212197780609,0.4244312644004822,0.09959764778614044,-0.05625738576054573,0.48911672830581665,0.0858064666390419,0.49159517884254456,-0.04899146780371666,0.4119793176651001,0.43285423517227173,0.14326193928718567,-0.06843771040439606,0.4132136106491089,0.1266498863697052,0.5352736115455627,-0.08497404307126999,0.5775513052940369,0.4540402293205261,0.13379602134227753,-0.14062349498271942,0.6127591729164124,0.24241392314434052,0.4503365457057953
neutral,0.7110581398010254,0.3366951644420624,-0.060201119631528854,0.9997329711914062,0.7299635410308838,0.3156670331954956,-0.05076669901609421,0.9997311234474182,0.729045033454895,0.31587859988212585,-0.05112827941775322,0.9997064471244812,0.7278585433959961,0.31609565019607544,-0.051511604338884354,0.9997831583023071,0.7300095558166504,0.30429214239120483,-0.09516753256320953,0.9996404051780701,0.7289242744445801,0.2961479127407074,-0.09517087787389755,0.999569833278656,0.727647602558136,0.28784123063087463,-0.09520301967859268,0.999646782875061,0.7086936831474304,0.27991029620170593,0.04721596837043762,0.999899685382843,0.709208071231842,0.2498442530632019,-0.14985717833042145,0.9996552467346191,0.6824595928192139,0.34091994166374207,-0.014368976466357708,0.9995601177215576,0.6830209493637085,0.33164748549461365,-0.07192769646644592,0.9995251297950745,0.5894655585289001,0.2076878696680069,0.24900075793266296,0.998202383518219,0.6055361032485962,0.3116946220397949,-0.28578266501426697,0.9992367029190063,0.4677826464176178,0.3398168385028839,0.4211124777793884,0.059283677488565445,0.5983377695083618,0.5466809868812561,-0.3216590881347656,0.8745729327201843,0.3803073763847351,0.4406152069568634,0.4583117961883545,0.02877087891101837,0.598193883895874,0.6222997307777405,-0.09664159268140793,0.5557911396026611,0.3585762083530426,0.45881927013397217,0.47916069626808167,0.04145835340023041,0.6121728420257568,0.645264208316803,-0.1226358637213707,0.5213548541069031,0.3830893635749817,0.4594215154647827,0.4244605600833893,0.043172746896743774,0.6069530248641968,0.6277166604995728,-0.09732913970947266,0.51329505443573,0.38634002208709717,0.45124149322509766,0.43582063913345337,0.04955124109983444,0.5950809717178345,0.6169083118438721,-0.08344168961048126,0.5280733704566956,0.24316510558128357,0.16675801575183868,0.17261071503162384,0.997352659702301,0.21893779933452606,0.18678849935531616,-0.172441765666008,0.9976348280906677,0.18535302579402924,0.48413780331611633,0.31713375449180603,0.12158236652612686,0.1347738653421402,0.5409852862358093,-0.1333850622177124,0.858753502368927,-0.0025966251268982887,0.48556506633758545,0.4669467508792877,0.09260044991970062,-0.06734371930360794,0.49132516980171204,0.10030277073383331,0.4616813659667969,-0.031440362334251404,0.4497951865196228,0.48131489753723145,0.13578158617019653,-0.08621183782815933,0.4256651997566223,0.13693872094154358,0.5183852314949036,-0.053036920726299286,0.6040314435958862,0.498335599899292,0.12456530332565308,-0.14042939245700836,0.6199963688850403,0.19972145557403564,0.42310830950737
neutral,0.7157844305038452,0.3261023163795471,-0.17648831009864807,0.999706506729126,0.7351723909378052,0.30375030636787415,-0.15862180292606354,0.9996961355209351,0.7348366975784302,0.3049812912940979,-0.15897910296916962,0.9996683597564697,0.7343207597732544,0.3062952756881714,-0.15939395129680634,0.9997542500495911,0.7328647375106812,0.2889918088912964,-0.1986112892627716,0.9995952844619751,0.7307623028755188,0.27925997972488403,-0.19858399033546448,0.9995183944702148,0.7283379435539246,0.26861995458602905,-0.19856193661689758,0.9996048808097839,0.7151246666908264,0.27086418867111206,-0.03067358396947384,0.9998750686645508,0.7088683843612671,0.22773854434490204,-0.20345258712768555,0.9995976090431213,0.688126802444458,0.3339453637599945,-0.12040932476520538,0.9994964599609375,0.6864997744560242,0.3195122480392456,-0.17082715034484863,0.9994274973869324,0.5989202857017517,0.20891636610031128,0.19283580780029297,0.998084306716919,0.6023207902908325,0.30998024344444275,-0.32915249466896057,0.9991698265075684,0.5144418478012085,0.3384397327899933,0.35853204131126404,0.05775362625718117,0.5979195237159729,0.5504547357559204,-0.3794138431549072,0.8819473385810852,0.45799770951271057,0.42867574095726013,0.3551124334335327,0.027939703315496445,0.5912944674491882,0.6704927682876587,-0.1800006926059723,0.568336546421051,0.44461455941200256,0.44562146067619324,0.3656105697154999,0.04044793173670769,0.6002386808395386,0.7110337018966675,-0.2145313322544098,0.5303983688354492,0.457174152135849,0.44750121235847473,0.3214566111564636,0.04218126833438873,0.6019467115402222,0.688679039478302,-0.1916385143995285,0.5225164294242859,0.45535987615585327,0.4410594403743744,0.3350774645805359,0.048490915447473526,0.5917572379112244,0.6706810593605042,-0.16918636858463287,0.5354636311531067,0.25682058930397034,0.17762330174446106,0.17174692451953888,0.9954965114593506,0.22376617789268494,0.20107366144657135,-0.17153140902519226,0.9964740872383118,0.194568932056427,0.4827066659927368,0.323088139295578,0.11369691789150238,0.12800383567810059,0.5058166980743408,-0.09141956269741058,0.8409780859947205,0.0026660910807549953,0.48674681782722473,0.5216830968856812,0.0860985666513443,-0.07308099418878555,0.49284228682518005,0.12119285017251968,0.4415201246738434,-0.029313597828149796,0.45581701397895813,0.5401540994644165,0.1283385008573532,-0.10042961686849594,0.4360499680042267,0.14670579135417938,0.5129163861274719,-0.0399869941174984,0.6081355214118958,0.5520018935203552,0.11608722805976868,-0.12752944231033325,0.6326389908790588,0.19292274117469788,0.40537455677986145
neutral,0.7192389965057373,0.3177419602870941,-0.19472581148147583,0.9996979236602783,0.7383283972740173,0.29433903098106384,-0.17495210468769073,0.9996844530105591,0.7380795478820801,0.2965148687362671,-0.1753033846616745,0.9996503591537476,0.7377093434333801,0.29884061217308044,-0.17569944262504578,0.9997435808181763,0.735440194606781,0.27826592326164246,-0.21325960755348206,0.9995810985565186,0.7329257726669312,0.2677359879016876,-0.21322543919086456,0.9994996786117554,0.7298723459243774,0.2563445568084717,-0.21317963302135468,0.9995919466018677,0.7187688946723938,0.26639220118522644,-0.040566422045230865,0.9998601675033569,0.7084065675735474,0.21809981763362885,-0.20581479370594025,0.9995667338371277,0.6911438703536987,0.3284870386123657,-0.1365015059709549,0.9994589686393738,0.6886099576950073,0.3111823797225952,-0.18439526855945587,0.9993657469749451,0.6021906137466431,0.2106599062681198,0.1944204717874527,0.9980404376983643,0.6018334031105042,0.30941516160964966,-0.33231884241104126,0.9991502165794373,0.5100674629211426,0.3369424045085907,0.355413019657135,0.05481742322444916,0.5974732637405396,0.5586889982223511,-0.3683147132396698,0.8867639899253845,0.45764002203941345,0.42146629095077515,0.33889153599739075,0.026597052812576294,0.5719249844551086,0.6732379198074341,-0.1483488231897354,0.572449803352356,0.4400584101676941,0.4388459622859955,0.3494649827480316,0.03877430781722069,0.5753859281539917,0.7116392850875854,-0.17933671176433563,0.5320886969566345,0.45044150948524475,0.44104787707328796,0.3041170537471771,0.04048929736018181,0.5785436034202576,0.6897911429405212,-0.15442420542240143,0.5244154930114746,0.44928818941116333,0.43490973114967346,0.3179706633090973,0.04660846292972565,0.5704456567764282,0.671658456325531,-0.135814368724823,0.5361217856407166,0.25563889741897583,0.19153714179992676,0.16921457648277283,0.9943340420722961,0.22382548451423645,0.22390857338905334,-0.1690015345811844,0.9957847595214844,0.16111621260643005,0.46482303738594055,0.3365127444267273,0.10554367303848267,0.11472131311893463,0.5113354325294495,-0.06245107203722,0.8202593922615051,-0.016822468489408493,0.49704796075820923,0.5384669303894043,0.07973393052816391,-0.09024033695459366,0.5184992551803589,0.14917968213558197,0.4182141125202179,-0.04909174144268036,0.47402438521385193,0.5570532083511353,0.12091652303934097,-0.12123020738363266,0.46804797649383545,0.1737673580646515,0.5025477409362793,-0.05006367713212967,0.6240003705024719,0.5750411748886108,0.10811755806207657,-0.13981017470359802,0.6667841076850891,0.21198125183582306,0.3857894539833069
